,title,artist,top genre,year,bpm,duration,acousticness,popularity,country
372,Run Rudolph Run - Single Version,Chuck Berry,blues rock,1986,152.0,166,81.0,87,canada
573,Bellaquita - Remix,Dalex,latin,2019,166.0,305,14.0,87,spain
418,Step Into Christmas,Elton John,glam rock,1973,140.0,272,10.0,87,germany
373,Santa Baby,Ariana Grande,dance pop,2013,96.0,171,5.0,87,canada
374,Like It's Christmas,Jonas Brothers,boy band,2019,146.0,201,2.0,87,canada
523,Bellaquita - Remix,Dalex,latin,2019,166.0,305,14.0,87,chile
473,Qué Pena,Maluma,latin,2019,126.0,213,10.0,87,colombia
624,Blue Christmas,Elvis Presley,adult standards,1957,95.0,129,90.0,87,usa
417,Christmas Lights,Coldplay,permanent wave,2010,131.0,242,13.0,87,germany
474,Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,90.0,227,26.0,87,colombia
761,Boy With Luv (feat. Halsey),BTS,k-pop,2019,120.0,230,9.0,87,indonesia
72,Do They Know It's Christmas? - 1984 Version,Band Aid,adult standards,2004,115.0,223,16.0,87,africa
174,Blue Christmas,Elvis Presley,adult standards,1957,95.0,129,90.0,87,australia
173,Christmas Lights,Coldplay,permanent wave,2010,131.0,242,13.0,87,australia
172,Run Rudolph Run - Single Version,Chuck Berry,blues rock,1986,152.0,166,81.0,87,australia
171,Step Into Christmas,Elton John,glam rock,1973,140.0,272,10.0,87,australia
73,Blue Christmas,Elvis Presley,adult standards,1957,95.0,129,90.0,87,africa
170,Do They Know It's Christmas? - 1984 Version,Band Aid,adult standards,2004,115.0,223,16.0,87,australia
74,Santa Baby,Ariana Grande,dance pop,2013,96.0,171,5.0,87,africa
119,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,170.0,259,5.0,88,argentina
366,Underneath the Tree,Kelly Clarkson,dance pop,2013,160.0,230,0.0,88,canada
120,No Me Conoce - Remix,Jhay Cortez,latin,2019,92.0,309,14.0,88,argentina
121,Con Altura,ROSALÍA,r&b en espanol,2019,98.0,162,39.0,88,argentina
122,Otro Trago - Remix,Sech,panamanian pop,2019,176.0,288,7.0,88,argentina
123,Con Calma,Daddy Yankee,latin,2019,94.0,193,11.0,88,argentina
